city,total,sector,county,calibration_county
שער העמקים אורנים,3043,secular,31,31_jewish
שפיים געש ארסוף רשפון,8937,secular,41,41_jewish
שפרעם,3827,arab,24,24_arab
שרשרת שיבולים מעגלים גבעולים מלילות,3787,secular,62,62_jewish
"תימורים כפר מנחם קדמה רבדים אביגדור כפר הריף אל -עזי תעשיון ראם""",10550,secular,61,61
תירוש שדות מיכה גפן זכריה,7087,secular,11,11
תל אביב -יפו,442291,secular,51_tlv,51_tlv
תל יצחק,1883,secular,41,41_jewish
תל מונד,11385,secular,41,41_jewish
תל שבע,9809,arab,62_arab,62_arab
תלם אדורה,30439,secular,71,71
תפרח גילת בטחה,4434,secular,62,62_jewish
תקוע נוקדים,23373,secular,71,71
